solver,estado,costo,tiempo,arcos,num_arcos,error,archivo,archivo_corregido,start_node,end_node,timestamp
gurobi,solved,810.0,0.2077646255493164,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:47:10.284911
highs,solved,810.0,0.15987443923950195,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:47:10.496701
cplex,failure,0.0,0.002506732940673828,[],0,,data.dat,True,0,3,2025-06-25 21:47:10.553797
gurobi,solved,2008.0,0.21371889114379883,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:47:11.024030
highs,solved,2008.0,0.17924237251281738,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:47:11.254748
cplex,failure,0.0,0.0030007362365722656,[],0,,data_5.dat,True,0,4,2025-06-25 21:47:11.310236
gurobi,solved,2008.0,0.2082045078277588,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:47:11.622383
highs,solved,2008.0,0.1911332607269287,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:47:11.889640
cplex,failure,0.0,0.0020029544830322266,[],0,,data_5_corregido.dat,False,0,4,2025-06-25 21:47:11.948790
gurobi,solved,1487.0,0.2429044246673584,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:47:12.299324
highs,solved,1487.0,0.20998716354370117,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:47:12.572134
cplex,failure,0.0,0.0043561458587646484,[],0,,data_6.dat,True,0,5,2025-06-25 21:47:12.636945
gurobi,solved,1487.0,0.20475029945373535,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:47:12.957288
highs,solved,1487.0,0.16968369483947754,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:47:13.183644
cplex,failure,0.0,0.0030012130737304688,[],0,,data_6_corregido.dat,False,0,5,2025-06-25 21:47:13.243457
gurobi,solved,2225.0,0.2079167366027832,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:47:13.579557
highs,solved,2225.0,0.16707658767700195,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:47:13.810617
cplex,failure,0.0,0.0025081634521484375,[],0,,data_7.dat,True,0,6,2025-06-25 21:47:13.869120
gurobi,solved,2225.0,0.21802020072937012,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:47:14.197293
highs,solved,2225.0,0.17695832252502441,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:47:14.425509
cplex,failure,0.0,0.003006458282470703,[],0,,data_7_corregido.dat,False,0,6,2025-06-25 21:47:14.481539
gurobi,solved,2978.0,0.2229154109954834,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:47:14.819494
highs,solved,2978.0,0.1798863410949707,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:47:15.060165
cplex,failure,0.0,0.0025064945220947266,[],0,,data_8.dat,True,0,7,2025-06-25 21:47:15.124027
gurobi,solved,2978.0,0.24460983276367188,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 21:47:17.594665
highs,solved,2978.0,0.1612992286682129,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 21:47:17.827550
cplex,failure,0.0,0.0025072097778320312,[],0,,data_8_corregido.dat,False,0,7,2025-06-25 21:47:17.879341
gurobi,solved,5602.0,0.36843252182006836,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 21:47:18.388473
highs,solved,5602.0,1.315082311630249,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 21:47:19.770713
cplex,failure,0.0,0.004530191421508789,[],0,,data_cgl_17.dat,True,0,16,2025-06-25 21:47:19.845705
gurobi,solved,5602.0,0.32486414909362793,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:47:20.308383
highs,solved,5602.0,1.1991336345672607,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:47:21.562452
cplex,failure,0.0,0.004011392593383789,[],0,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:47:21.661686
gurobi,solved,810.0,0.1991264820098877,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 21:47:21.962577
highs,solved,810.0,0.1466352939605713,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 21:47:22.159384
cplex,failure,0.0,0.0025262832641601562,[],0,,data_corregido.dat,False,0,3,2025-06-25 21:47:22.210651
