solver,estado,costo,tiempo,arcos,num_arcos,error,archivo,archivo_corregido,start_node,end_node,timestamp
gurobi,solved,810.0,0.31201910972595215,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:10:51.630497
highs,solved,810.0,0.150559663772583,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:10:51.843563
cplex,failure,0.0,0.0020034313201904297,[],0,,data.dat,True,0,3,2025-06-25 21:10:51.904758
gurobi,solved,2008.0,0.2262740135192871,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:10:52.312324
highs,solved,2008.0,0.18889474868774414,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:10:52.559233
cplex,failure,0.0,0.0025110244750976562,[],0,,data_5.dat,True,0,4,2025-06-25 21:10:52.618419
gurobi,solved,2008.0,0.2323462963104248,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:10:52.964148
highs,solved,2008.0,0.18345117568969727,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:10:53.198440
cplex,failure,0.0,0.0025055408477783203,[],0,,data_5_corregido.dat,False,0,4,2025-06-25 21:10:53.258943
gurobi,solved,1487.0,0.24392485618591309,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:10:53.616735
highs,solved,1487.0,0.18965697288513184,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:10:53.873458
cplex,failure,0.0,0.0020003318786621094,[],0,,data_6.dat,True,0,5,2025-06-25 21:10:53.936189
gurobi,solved,1487.0,1.5472712516784668,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:10:55.589317
highs,solved,1487.0,0.1753988265991211,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:10:55.816724
cplex,failure,0.0,0.003065347671508789,[],0,,data_6_corregido.dat,False,0,5,2025-06-25 21:10:55.880488
gurobi,solved,2225.0,0.20033740997314453,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:10:56.205888
highs,solved,2225.0,0.17824053764343262,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:10:56.447532
cplex,failure,0.0,0.002002716064453125,[],0,,data_7.dat,True,0,6,2025-06-25 21:10:56.506655
gurobi,solved,2225.0,0.22458791732788086,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:10:56.848311
highs,solved,2225.0,0.18265247344970703,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:10:57.083087
cplex,failure,0.0,0.003000497817993164,[],0,,data_7_corregido.dat,False,0,6,2025-06-25 21:10:57.145625
gurobi,solved,2978.0,0.20424580574035645,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:10:57.459155
highs,solved,2978.0,0.17530155181884766,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:10:57.688195
cplex,failure,0.0,0.0030841827392578125,[],0,,data_8.dat,True,0,7,2025-06-25 21:10:57.752190
gurobi,solved,2978.0,0.2153332233428955,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 21:10:58.080144
highs,solved,2978.0,0.17464280128479004,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 21:10:58.314256
cplex,failure,0.0,0.0035178661346435547,[],0,,data_8_corregido.dat,False,0,7,2025-06-25 21:10:58.379798
gurobi,solved,5602.0,0.3326880931854248,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 21:10:58.830157
highs,solved,5602.0,1.2987439632415771,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 21:11:00.190234
cplex,failure,0.0,0.004004478454589844,[],0,,data_cgl_17.dat,True,0,16,2025-06-25 21:11:00.266894
gurobi,solved,5602.0,0.3282968997955322,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:11:00.709549
highs,solved,5602.0,1.241551399230957,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:11:02.012439
cplex,failure,0.0,0.0029993057250976562,[],0,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:11:02.069542
gurobi,solved,810.0,0.21602559089660645,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 21:11:02.403190
highs,solved,810.0,0.2542538642883301,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 21:11:02.709425
cplex,failure,0.0,0.0019996166229248047,[],0,,data_corregido.dat,False,0,3,2025-06-25 21:11:02.765746
