set NODES := 0 1 2 3 4 5 6 7 8 9;

param C :
    0   1   2   3   4   5   6   7   8   9 :=
 0  -1  300  -1  654  926  -1  -1  -1  -1  -1
 1  305  -1  963  117  237  -1  -1  -1  -1  -1
 2  952  493  -1  704  686  -1  -1  -1  -1  -1
 3  678  123  -1  -1  41  -1  -1  -1  -1  -1
 4  946  237  1155  34  -1  804  -1  -1  -1
 5  -1  -1  -1  -1  -1  -1  71  1721  -1  -1
 6  -1  -1  -1  -1  -1  73  -1  1777  -1  -1
 7  -1  -1  -1  -1  -1  2034  2020  -1  634  634
 8  -1  -1  -1  -1  -1  -1  -1  685  -1  0
 9  -1  -1  -1  -1  -1  -1  -1  685  0  -1
;

set PROHIBITED := ;

param start_node := 0;
param end_node := 9;
