set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;

param C :
    0   1   2   3   4   5   6   7   8   9   10   11   12   13   14   15   16 :=
0 3034 300 3034 654 926 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034
1 305 3034 963 117 237 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034
2 952 493 3034 704 686 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034
3 678 123 3034 3034 41 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034
4 946 237 1155 34 3034 804 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034
5 3034 3034 3034 3034 3034 3034 71 1721 3034 3034 3034 3034 3034 3034 3034 3034 3034
6 3034 3034 3034 3034 3034 73 3034 1777 3034 3034 3034 3034 3034 3034 3034 3034 3034
7 3034 3034 3034 3034 3034 2034 2020 3034 634 634 634 634 634 634 634 634 67
8 3034 3034 3034 3034 3034 3034 3034 685 3034 0 0 0 0 0 0 0 308
9 3034 3034 3034 3034 3034 3034 3034 685 0 3034 0 0 0 0 0 0 308
10 3034 3034 3034 3034 3034 3034 3034 685 0 0 3034 0 0 0 0 0 308
11 3034 3034 3034 3034 3034 3034 3034 685 0 0 0 3034 0 0 0 0 308
12 3034 3034 3034 3034 3034 3034 3034 685 0 0 0 0 3034 0 0 0 308
13 3034 3034 3034 3034 3034 3034 3034 685 0 0 0 0 0 3034 0 0 308
14 3034 3034 3034 3034 3034 3034 3034 685 0 0 0 0 0 0 3034 0 308
15 3034 3034 3034 3034 3034 3034 3034 685 0 0 0 0 0 0 0 3034 308
16 3034 3034 3034 3034 3034 3034 3034 77 293 293 293 293 293 293 293 293 3034
;

set PROHIBITED := ;

param start_node := 0;
param end_node := 16;
