archivo,grasp_mejorado_secuencia,grasp_mejorado_costo,grasp_mejorado_tiempo,bks,gap_grasp_mejorado,gap_percent
cgl_66.catsp,"[11, 22, 14, 29, 30, 26, 66, 1, 2, 0, 3, 9, 32, 13, 19, 25, 21, 24, 4, 5, 6, 7, 12, 8, 28, 23, 27, 31, 18, 16, 17, 15, 20, 10, 33, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 48, 49, 50, 47, 52, 53, 59, 60, 61, 62, 63, 64, 65, 58, 54, 55, 56, 57, 51]",10378.0,0.26674723625183105,8217.0,2161.0,26.299135937690153
cgl_38.catsp,"[32, 15, 13, 16, 14, 11, 17, 9, 7, 12, 21, 19, 23, 22, 20, 18, 24, 6, 25, 8, 10, 27, 26, 30, 28, 33, 34, 31, 29, 38, 1, 0, 35, 36, 37, 3, 2, 4, 5]",4495.0,0.06606698036193848,3887.0,608.0,15.64188320041163
cgl_60.catsp,,inf,0.01178884506225586,10144.0,inf,inf
cgl_51b.catsp,"[3, 2, 6, 11, 10, 4, 9, 8, 5, 35, 34, 49, 42, 43, 44, 45, 46, 47, 50, 48, 30, 31, 32, 33, 0, 1, 29, 28, 26, 27, 24, 23, 25, 21, 22, 7, 12, 16, 14, 15, 13, 17, 20, 18, 19, 51, 36, 37, 38, 39, 40, 41]",5234.0,0.6007199287414551,4146.0,1088.0,26.242161119150985
cgl_44.catsp,,inf,0.0059680938720703125,8949.0,inf,inf
cgl_81.catsp,,inf,0.025099992752075195,6816.0,inf,inf
cgl_58.catsp,"[57, 56, 53, 36, 40, 44, 33, 48, 37, 41, 32, 43, 42, 52, 49, 39, 50, 34, 21, 10, 8, 15, 11, 6, 14, 7, 9, 5, 18, 19, 20, 13, 16, 23, 24, 26, 12, 25, 17, 22, 38, 46, 35, 51, 54, 55, 47, 45, 28, 27, 29, 30, 31, 4, 3, 2, 58, 0, 1]",2936.0,2.5769660472869873,3652.0,-716.0,-19.605695509309967
cgl_43.catsp,"[39, 43, 17, 16, 14, 22, 19, 18, 24, 21, 27, 20, 26, 25, 29, 23, 30, 15, 28, 33, 32, 34, 31, 1, 2, 13, 11, 3, 5, 7, 8, 6, 4, 9, 12, 10, 35, 42, 41, 40, 38, 37, 0, 36]",5868.0,0.09242415428161621,4899.0,969.0,19.779546846295162
cgl_47.catsp,,inf,0.013686895370483398,5046.0,inf,inf
cgl_26.catsp,,inf,0.0036041736602783203,5255.0,inf,inf
cgl_114.catsp,,inf,0.066741943359375,8685.0,inf,inf
cgl_45.catsp,,inf,0.005143165588378906,7995.0,inf,inf
cgl_78.catsp,,inf,0.0172421932220459,8985.0,inf,inf
cgl_28.catsp,"[3, 4, 6, 8, 9, 5, 7, 11, 25, 26, 27, 24, 23, 22, 10, 1, 0, 21, 2, 28, 14, 15, 13, 16, 17, 18, 19, 12, 20]",2698.0,0.08659505844116211,2833.0,-135.0,-4.765266501941405
cgl_50.catsp,,inf,0.004406929016113281,5335.0,inf,inf
cgl_17.catsp,"[2, 0, 1, 3, 4, 5, 6, 17, 7, 16, 8, 10, 9, 11, 12, 13, 14, 15]",2645.0,0.0027849674224853516,4422.0,-1777.0,-40.18543645409317
cgl_33.catsp,,inf,0.0047528743743896484,9071.0,inf,inf
cgl_76.catsp,,inf,0.01512908935546875,9399.0,inf,inf
cgl_107.catsp,,inf,0.04990506172180176,5515.0,inf,inf
cgl_37.catsp,,inf,0.007654905319213867,4883.0,inf,inf
cgl_72.catsp,,inf,0.017744779586791992,7664.0,inf,inf
cgl_70.catsp,,inf,0.01445317268371582,9235.0,inf,inf
cgl_32.catsp,"[1, 32, 9, 7, 8, 13, 12, 14, 6, 15, 11, 16, 18, 17, 19, 10, 20, 21, 22, 23, 24, 25, 26, 4, 5, 27, 3, 2, 31, 0, 29, 28, 30]",3053.0,0.15651702880859375,4035.0,-982.0,-24.337050805452293
cgl_48.catsp,,inf,0.008700847625732422,9187.0,inf,inf
cgl_70b.catsp,,inf,0.024842023849487305,5454.0,inf,inf
cgl_88.catsp,,inf,0.026831865310668945,10431.0,inf,inf
cgl_51.catsp,,inf,0.00870203971862793,12498.0,inf,inf
cgl_48b.catsp,"[32, 37, 38, 34, 39, 35, 36, 48, 0, 1, 2, 7, 5, 4, 3, 6, 33, 40, 41, 45, 44, 31, 30, 29, 43, 42, 27, 28, 46, 47, 25, 26, 17, 16, 20, 19, 18, 21, 22, 23, 12, 11, 24, 15, 13, 14, 10, 8, 9]",5053.0,0.34325289726257324,4271.0,782.0,18.309529384219154
cgl_73.catsp,,inf,0.020213603973388672,6263.0,inf,inf
cgl_57.catsp,,inf,0.00904393196105957,7999.0,inf,inf
