Instancia,BKS,GRASP Mejorado Costo,GAP %,Tiempo (s),Solucion Valida
cgl_66.catsp,8217.0,8554.0,4.10125349884386,0.34140491485595703,True
cgl_38.catsp,3887.0,4495.0,15.64188320041163,0.09619903564453125,True
cgl_60.catsp,10144.0,inf,inf,0.011802911758422852,False
cgl_51b.catsp,4146.0,5911.0,42.57115291847564,0.34885621070861816,True
cgl_44.catsp,8949.0,inf,inf,0.00599980354309082,False
cgl_81.catsp,6816.0,inf,inf,0.024096965789794922,False
cgl_58.catsp,3652.0,2905.0,-20.454545454545457,1.4422471523284912,True
cgl_43.catsp,4899.0,5868.0,19.779546846295162,0.052850961685180664,True
cgl_47.catsp,5046.0,inf,inf,0.013551950454711914,False
cgl_26.catsp,5255.0,inf,inf,0.0033483505249023438,False
cgl_114.catsp,8685.0,inf,inf,0.06472516059875488,False
cgl_45.catsp,7995.0,inf,inf,0.005156040191650391,False
cgl_78.catsp,8985.0,inf,inf,0.016414880752563477,False
cgl_28.catsp,2833.0,2295.0,-18.990469466996117,0.0761878490447998,True
cgl_50.catsp,5335.0,inf,inf,0.004625797271728516,False
cgl_17.catsp,4422.0,2645.0,-40.18543645409317,0.0019578933715820312,True
cgl_33.catsp,9071.0,8376.0,-7.6617792966596845,0.025866985321044922,True
cgl_76.catsp,9399.0,inf,inf,0.015218019485473633,False
cgl_107.catsp,5515.0,inf,inf,0.04704904556274414,False
cgl_37.catsp,4883.0,5839.0,19.578128199877124,0.016278982162475586,True
cgl_72.catsp,7664.0,inf,inf,0.016689062118530273,False
cgl_70.catsp,9235.0,inf,inf,0.015543937683105469,False
cgl_32.catsp,4035.0,3243.0,-19.62825278810409,0.15352487564086914,True
cgl_48.catsp,9187.0,inf,inf,0.008810043334960938,False
cgl_70b.catsp,5454.0,inf,inf,0.02607893943786621,False
cgl_88.catsp,10431.0,inf,inf,0.02655482292175293,False
cgl_51.catsp,12498.0,inf,inf,0.00854802131652832,False
cgl_48b.catsp,4271.0,6370.0,49.14539920393351,0.08913207054138184,True
cgl_73.catsp,6263.0,inf,inf,0.020968914031982422,False
cgl_57.catsp,7999.0,9116.0,13.964245530691336,0.042143821716308594,True
