archivo,greedy_secuencia,greedy_costo,greedy_tiempo,neighbour_secuencia,neighbour_costo,neighbour_tiempo,grasp_secuencia,grasp_costo,grasp_tiempo,bks,gap_greedy,gap_neighbour,gap_grasp
cgl_66.catsp,"[0, 66, 1, 2, 3, 9, 10, 32, 33, 20, 4, 13, 15, 17, 19, 21, 24, 25, 5, 6, 7, 28, 14, 22, 23, 27, 29, 31, 16, 18, 26, 30, 8, 11, 12, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 51, 53, 58, 59, 60, 62, 61, 54, 56, 57, 55, 63, 64, 65]",3005470.0,0.0003719329833984375,"[0, 66, 1, 2, 3, 9, 10, 32, 33, 20, 4, 13, 15, 17, 19, 21, 24, 25, 5, 6, 7, 28, 14, 22, 23, 27, 29, 31, 16, 18, 26, 30, 8, 11, 12, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 51, 53, 58, 59, 60, 62, 61, 54, 56, 57, 55, 63, 64, 65]",inf,0.009215116500854492,,inf,0.2680320739746094,8217.0,2997253.0,inf,inf
cgl_38.catsp,"[0, 38, 1, 2, 4, 5, 3, 36, 37, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",1002019.0,0.00013017654418945312,"[0, 1, 38, 2, 4, 5, 3, 36, 37, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",3592.0,0.003352642059326172,"[5, 2, 4, 3, 37, 36, 30, 7, 14, 6, 8, 12, 19, 15, 13, 10, 20, 16, 22, 24, 18, 9, 17, 11, 26, 23, 27, 21, 28, 31, 29, 32, 25, 33, 34, 35, 0, 38, 1]",2315.0,0.3059673309326172,3887.0,998132.0,-295.0,-1572.0
cgl_60.catsp,"[0, 60, 1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 12, 13, 14, 15, 16, 17, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 18, 43, 19, 20, 42, 21, 22, 23, 24, 25, 26, 27, 41, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 11]",1006992.0,0.00030303001403808594,"[0, 60, 1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 12, 13, 14, 15, 16, 17, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 18, 43, 19, 20, 42, 21, 22, 23, 24, 25, 26, 27, 41, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 11]",inf,0.007132053375244141,,inf,0.15212702751159668,10144.0,996848.0,inf,inf
cgl_51b.catsp,"[0, 1, 51, 2, 3, 29, 30, 31, 32, 33, 34, 49, 42, 43, 44, 45, 46, 47, 50, 48, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 18, 19, 21, 22, 25, 23, 24, 26, 27, 28, 35, 36, 37, 38, 39, 40, 41]",2003586.0,0.000225067138671875,"[0, 1, 51, 2, 3, 29, 30, 31, 32, 33, 34, 49, 42, 43, 44, 45, 46, 47, 50, 48, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 18, 19, 21, 22, 25, 23, 24, 26, 27, 28, 35, 36, 37, 38, 39, 40, 41]",inf,0.003616809844970703,,inf,0.17658233642578125,4146.0,1999440.0,inf,inf
cgl_44.catsp,"[0, 44, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 13, 15, 16, 17, 18, 20, 19, 21, 22, 23, 24, 33, 34, 43, 35, 36, 37, 38, 39, 40, 41, 42, 25, 26, 27, 28, 30, 31, 29, 32]",2008516.0,0.0001652240753173828,"[0, 44, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 13, 15, 16, 17, 18, 20, 19, 21, 22, 23, 24, 33, 34, 43, 35, 36, 37, 38, 39, 40, 41, 42, 25, 26, 27, 28, 30, 31, 29, 32]",inf,0.002221822738647461,,inf,0.07778096199035645,8949.0,1999567.0,inf,inf
cgl_81.catsp,"[0, 81, 1, 2, 3, 4, 5, 76, 77, 78, 79, 80, 72, 73, 74, 75, 53, 54, 55, 56, 57, 69, 70, 71, 58, 59, 60, 68, 61, 62, 63, 50, 51, 52, 64, 67, 65, 66, 6, 7, 8, 14, 15, 16, 34, 17, 18, 19, 20, 35, 36, 37, 38, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 22, 23, 21, 9, 39, 10, 11, 12, 13, 46, 47, 48, 49, 43, 44, 45, 40, 41, 42]",2010613.0,0.0006270408630371094,"[0, 81, 1, 2, 3, 4, 5, 76, 77, 78, 79, 80, 72, 73, 74, 75, 53, 54, 55, 56, 57, 69, 70, 71, 58, 59, 60, 68, 61, 62, 63, 50, 51, 52, 64, 67, 65, 66, 6, 7, 8, 14, 15, 16, 34, 17, 18, 19, 20, 35, 36, 37, 38, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 22, 23, 21, 9, 39, 10, 11, 12, 13, 46, 47, 48, 49, 43, 44, 45, 40, 41, 42]",inf,0.018725872039794922,,inf,0.4233860969543457,6816.0,2003797.0,inf,inf
cgl_58.catsp,"[0, 1, 58, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 27, 28, 29, 30, 31]",4199.0,0.0002639293670654297,"[0, 1, 58, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 26, 25, 24, 23, 22, 56, 57, 32, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 27, 28, 29, 30, 31]",3921.0,0.03688693046569824,"[52, 56, 57, 41, 47, 50, 43, 35, 39, 55, 54, 45, 38, 53, 44, 40, 34, 33, 51, 37, 49, 48, 36, 42, 32, 46, 22, 26, 16, 10, 12, 6, 7, 8, 5, 9, 13, 15, 23, 20, 25, 18, 24, 17, 21, 11, 19, 14, 58, 28, 29, 30, 27, 31, 4, 3, 2, 0, 1]",3115.0,0.6841909885406494,3652.0,547.0,269.0,-537.0
cgl_43.catsp,"[0, 36, 43, 1, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 2, 13, 11, 3, 4, 5, 6, 7, 8, 9, 12, 10, 37, 38, 40, 41, 39, 42]",2002458.0,0.00015997886657714844,"[0, 36, 43, 1, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 2, 13, 11, 3, 4, 5, 6, 7, 8, 9, 12, 10, 37, 38, 40, 41, 39, 42]",inf,0.003483295440673828,"[10, 12, 9, 13, 4, 5, 6, 8, 7, 3, 11, 2, 1, 22, 32, 24, 34, 35, 31, 25, 27, 33, 16, 29, 26, 28, 30, 14, 17, 20, 18, 19, 23, 21, 15, 42, 43, 36, 0, 37, 38, 40, 41, 39]",4019.0,0.3854379653930664,4899.0,1997559.0,inf,-880.0
cgl_47.catsp,"[0, 1, 2, 3, 4, 5, 6, 7, 47, 8, 9, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 28, 31, 30, 40, 41]",2004705.0,0.00018715858459472656,"[0, 1, 2, 3, 4, 5, 6, 7, 47, 8, 9, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 28, 31, 30, 40, 41]",inf,0.003403902053833008,"[43, 47, 30, 31, 28, 29, 27, 26, 25, 10, 13, 23, 14, 22, 20, 11, 15, 19, 18, 16, 24, 21, 12, 17, 2, 0, 7, 5, 6, 3, 4, 1, 8, 9, 32, 33, 37, 38, 39, 36, 34, 35, 40, 41, 42, 44, 45, 46]",5046.0,0.6271510124206543,5046.0,1999659.0,inf,0.0
cgl_26.catsp,"[0, 26, 1, 18, 20, 19, 2, 3, 4, 16, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 21, 22, 23, 24, 25]",3003386.0,7.295608520507812e-05,"[0, 26, 1, 18, 20, 19, 2, 3, 4, 16, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 21, 22, 23, 24, 25]",inf,0.0004379749298095703,,inf,0.031240224838256836,5255.0,2998131.0,inf,inf
